novel_name,novel_size,updatetime,novel_url,novel_info
仙武：开局与花小兰拜师少林(1-142),1.76 MB,2021-12-13,https://www.trxs.cc/tongren/6437.html,穿越到仙武大明，开局定亲花小兰，与她一起拜师少林寺。
从神里绫华开始欠下风流债(全本),3.09 MB,2021-12-12,https://www.trxs.cc/tongren/6436.html,神里绫华一直在稻妻城寻找的那个人，究竟是谁？到底是什么人？竟然可以让这位神里家的大小姐念念不忘？
斗罗之抢先海神九考(全本),2.91 MB,2021-12-09,https://www.trxs.cc/tongren/6428.html, 穿越了，成为星罗帝国皇子，戴沐白同父异母的哥哥，母亲是天斗帝国和亲的公主。
洪荒：我的体内有八亿四千万尊圣人(1-494),2.27 MB,2021-12-09,https://www.trxs.cc/tongren/6427.html,重生洪荒，获得玄幻功法变异系统！
斗罗大陆：从被女神逼婚开始无敌(全本),2.21 MB,2021-12-08,https://www.trxs.cc/tongren/6426.html,苏北穿越斗罗世界，签到斗罗男神系统，开局被银龙王古月娜逼婚，成为魂兽之王。
是红颜祸水我也很绝望啊(1~4卷164章),5.25 MB,2021-12-08,https://www.trxs.cc/tongren/6425.html,“除了美貌，我已经一无是处了。”――by，夏漓。
我！无尽主宰，签到百万年！(1-223),1.59 MB,2021-12-08,https://www.trxs.cc/tongren/6424.html,穿越到罗兰大陆的洛恩，成为了满门荣耀的紫荆花家族次子！
人在崩坏，刚下型月，科学上帝(1-324),2.65 MB,2021-12-07,https://www.trxs.cc/tongren/6423.html,主角崩坏三前文明**Mei博士。逻辑的尽头是什么，最强大脑，超级智力，这是拥有型月知识的崩坏最强科学家成为科学上帝的故事!
爱的战士从良记(1-914),7.87 MB,2021-12-07,https://www.trxs.cc/tongren/5897.html,以后她就是你的妹妹了，你们要好好相处哦。”
恐怖时代：我，城隍，开始签到(全本),3.24 MB,2021-12-07,https://www.trxs.cc/tongren/6422.html,秦风穿越到了恐怖时代，附身在吉祥村城隍庙的神像之上。
太太请矜持(全本),2.18 MB,2021-12-06,https://www.trxs.cc/tongren/6421.html,刘长永很无奈。
全球转生：开局天堂，成为六翼炽天使！(1-343),2.35 MB,2021-12-02,https://www.trxs.cc/tongren/6404.html,当一场宇宙风暴来袭，全球的所有人类都进入了一个崭新的宇宙，**界！
崩坏，开局遇到雷电芽衣(1-231),1.43 MB,2021-12-01,https://www.trxs.cc/tongren/6403.html,不小心穿越到三蹦子这对男性充满了歧视和恶意的世界。
只要我够苟，就没有我熬不死的(1-269),1.68 MB,2021-12-01,https://www.trxs.cc/tongren/6402.html,我似鸽杀手，我莫得感情，我只知道完成任务。
综漫：从地城邂逅开始当神明(全本),2.49 MB,2021-12-01,https://www.trxs.cc/tongren/6401.html,早坂爱：神明大人！帮帮我！
键来(全本),5.09 MB,2021-11-30,https://www.trxs.cc/tongren/6400.html,“救命啊，强抢民女啦！”
